ID,text,user_followers_count,user_friends_count,user_location
454,"RT @Lad_Whistledown: ENTREGUEM O PRÊMIO PRA ELA

#Bridgerton https://t.co/ziaRuUwQUu",995,1696,"Rio de Janeiro, Brasil"
455,"RT @JulesLevz: one thing about me, my ships WILL have shared trauma 🤝 #Bridgerton https://t.co/TjFdZ9r7Qs",467,,
456,"Edwina e Anthony juntos em 45% do tempo, plot dos Featherington em outros 40%, Busca da Eloise em 15% e os 5% restante são reservados para o casal PRINCIPAL

Vontade de fazer isso com o Cris e a Shonda:
#Bridgerton #bridgertonseason2 https://t.co/4i090b9RJI",3025,3195,camp half-blood / UA
457,RT @bridgertonfav: a energia caótica dos dois nessa cena 😂❤️ #Bridgerton https://t.co/GCPHPtiCNP,571,713,
458,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",159,146,"Santo André, Brasil"
459,RT @bridgertonfav: a energia caótica dos dois nessa cena 😂❤️ #Bridgerton https://t.co/GCPHPtiCNP,145,1035,
460,"RT @baysercel: que beijão viu? 🤌🏼

#Bridgerton https://t.co/PWNnUrXtyg",3269,3204,"i love you, byeee"
461,"nono el vicio que tengoo, que es esta quimica sobrenatural de kathony??? #Bridgerton",686,215,Argentina
462,"Tô afim real de juntar uma grana, para molhar a mão da Shonda. Para ela de jeito nenhum cortar a cena da Sophia olhando o Bene no lago tomando banho. #Bridgerton #bridgertonS2",1860,1944,coxa do harry
463,"Pensaba que una segunda temporada, después del muermo que fue la primera, solo podría empeorar. 

Pues sí, me han callado la boca y lo ha hecho con creces.

Mis dieces a Anthony y Kate. Me han robado el cora💔

#Bridgerton",277,131,"Posadas, Córdoba, Andalucía"
464,RT @whylento: os personagens principais tendo menos tempo de tela e personagens secundários aparecendo em literalmente todos os minutos #Bridgerton https://t.co/7KM6610ehx,467,,
465,RT @KateThornley3: Me after bingeing the entire new season in a day #Bridgerton https://t.co/s7ZB2rVKrZ,484,260,
466,"RT @robssi_: SPOILER
. 
. 
. 
. 
. 
. 
. 
. 
. 
. 
. 
. 
. 
. 
. 
. 
C'è chi ha trattenuto il fiato davanti a questa scena e chi mente #Bridgerton #bridgerton2 #bridgertonS2 https://t.co/27mTGjCUOl",9210,2245,
467,"The ship The shipper
#Bridgerton #Kanthony https://t.co/R4MK6dKIKN",3311,116,
468,RT @machelanti: it needs to be said #Bridgerton https://t.co/9GdCBZ3lBP,288,80,📚
469,"RT @cxlinbridgerton: você sabia? para interpretar o coringa, joaquin phoenix teve que assistir 5 episódios de anthony e edwina cortejando
#bridgerton",5062,5300,kathony is my world ! ★
470,I LOVE LOVE the diversity in #Bridgerton,207,471,"Vancouver, British Columbia"
471,"RT @Rowanwag: A Eloise o Colin e Benedict se divertindo horrores com as desgraças do Anthony KKKKKKKKKKKK 🗣✨🤌 

#bridgertonseason2 #Bridgerton https://t.co/NtCquCWNk4",267,288,"Bath, England"
472,"The modest looks afraid of him!
#Bridgerton",3748,3962,"Atlanta, GA"
473,"RT @GissaneSophia: “Hyacinth, who was now just eleven, had never even been held in her father’s arms. Anthony had tried to fill the gap as best as he could, but he knew he was a very pale comparison.” #Bridgerton https://t.co/OUrif6zjnP",544,572,"Vancouver, British Columbia"
474,"My sweet Penelope, oh honey. #Bridgerton",625,664,Lower 48
475,"Eloise be doing the most. Girl land you a husband and stfu 
#Bridgerton",153,874,brooklyns own
476,Everyone talking about Colin and Penelope but I cannot wait for Eloise and Sir Philip #Bridgerton,149,318,"Denver, CO"
477,RT @niiikkiiix: The way Anthony smelled up Kate like this. Phewwwwwwwww #Bridgerton https://t.co/HlQYHuORJT,2320,2131,Dunder Mifflin
478,Lady Featherington is so gross. #Bridgerton,336,225,"Queens, NY"
479,Lady Danbury looks so good in red! #Bridgerton #BridgertonS2,113,530,Dante's inferno
480,RT @JulesLevz: enemies to lovers will just always hit like sorry to the other tropes but she’s that girl &lt;3 #bridgerton https://t.co/oAiHUTndjj,360,513,"Cape Town, South Africa"
481,RT @NetflixBrasil: O evento do ano começou! 🐝 A 2ª temporada de #Bridgerton já está disponível https://t.co/UI0uHcAjyC,815,1153,hope world
482,RT @Laurisliuxalene: MATERIAL GIRL!??? Aaaa #Bridgerton,467,,
483,Benedict just mooed at Eloise and IM DEAD #Bridgerton https://t.co/Atfa1S4SUL,182,1196,"Salt Lake City, UT"
484,"RT @Lad_Whistledown: ENTREGUEM O PRÊMIO PRA ELA

#Bridgerton https://t.co/ziaRuUwQUu",488,424,(っ◔◡◔)っ ♥ 26/05/2019 ♥ Brasil
485,RT @peetapcrker: my serotonin levels spike whenever kate and anthony bicker and insult each other #Bridgerton #bridgertonseason2 https://t.co/Sj7tAqgaxk,264,147,she/her | 20 | ♡︎☆♪
486,"RT @paohdezzz: —yo soy mujer.
—tu eres pen,tu no cuentas,eres mi amiga.
#Bridgerton #bridgertonseason2 https://t.co/3znv0yU521",181,98,Con Aidan H y Anthony B.
487,Eloise filling out her own dance card. She’s a funny one. #Bridgerton,1447,1278,On Social Media
488,"RT @potterofrings: Anthony quedándose bobo con el olor de kate como en el libro VIVO POR ESTOS DETALLES🥹🥹🥹🥹

#Bridgerton https://t.co/4ja1OAgDez",101,483,Venezuela
489,Already obsessed with the new #Bridgerton just one episode in. Immediately yes.,592,415,
490,"RT @dragnorgana: spoiler #Bridgerton #bridgertonseason2
.
.
.
.
vc sabia que para uma pessoa perder totalmente a sanidade ela só precisa assistir a cena do casamento do anthony e da edwina? não existe tortura maior",231,306,
491,Is any one else’s TV screen sweating? Geezus😩 #Bridgerton https://t.co/FZKeKR9mIb,4778,1633,New Jersey
492,"one thing about me, my ships WILL have shared trauma 🤝 #Bridgerton https://t.co/TjFdZ9r7Qs",692,330,"Montreal, Canada"
493,"RT @polinbridgerton: ""É porque eu nunca conheci alguém como você. É enlouquecedor o quanto você consome o meu ser. (...) Ainda assim, tudo em que consigo pensar, tudo pelo o que consigo respirar é você."" 
#Bridgerton #bridgertonseason2 https://t.co/LJmgvK9kQ6",236,710,RJ
494,"RT @cxlinbridgerton: você sabia? para interpretar o coringa, joaquin phoenix teve que assistir 5 episódios de anthony e edwina cortejando
#bridgerton",144,218,linda inteligente e violenta
495,os personagens principais tendo menos tempo de tela e personagens secundários aparecendo em literalmente todos os minutos #Bridgerton https://t.co/7KM6610ehx,2401,1249,
496,"RT @elainfavs: alguém explica pra Netflix que a Edwina é FIGURANTE e a kate PROTAGONISTA e não ao contrário, por que eu acho que não entenderam #Bridgerton",482,436,
497,RT @myqueenzoya: she’s so me #Bridgerton https://t.co/OkVE79yLVU,1477,5008,
498,MATERIAL GIRL!??? Aaaa #Bridgerton,575,1099,brasil
499,"RT @baysercel: que beijão viu? 🤌🏼

#Bridgerton https://t.co/PWNnUrXtyg",2040,1204,
500,"RT @bellalafin: #Bridgerton SPOILER
.
.
.
.
.
.
.
.
PORQUE ninguém tá falando sobre como o nome da Kate é KATHANI????? achei a coisa mais LINDA, o jeito que o Anthony olhou pra ela e falou o nome dela.",2113,1553,"Piauí, Brasil"
501,"RT @lovebridgerton: O TANTO QUE EU RI DISSO AQUI MEU DEUS
#Bridgerton https://t.co/jpRgioIw2n",6998,7653,chalé 6
502,RT @NoContxtBR: #Bridgerton https://t.co/OkMwA2K7Nt,1054,1476,carrd under construction
503,"RT @darcieblu17: the longing stares, the eye contact, the BREATHING, the heart beat, “you vex me” “you’re the bane of my existence” “tell me you feel nothing” #Bridgerton https://t.co/s4jNraZFzS",2566,4459,
504,Za długa ta akcja...#Bridgerton,931,303,Trójkąt Warszawski
505,"RT @bellalafin: #Bridgerton SPOILER
.
.
.
.
.
.
.
.
PORQUE ninguém tá falando sobre como o nome da Kate é KATHANI????? achei a coisa mais LINDA, o jeito que o Anthony olhou pra ela e falou o nome dela.",2238,2672,"1327- california, L.A."
506,"RT @fvscassian: so de pensar q pode ser os filhos deles eu ja fico toda “ senhor, tira de mim essa expectativa que a shonda e a Netflix amam quebrar, essa depressão pós serie, amém” #Bridgerton https://t.co/cPsizFHjTR",637,763,"Rio de Janeiro, Brasil"
507,"RT @3stebeland: ""Tenho um compromisso sério sexta-feira""

O compromisso:
#Bridgerton #BridgertonSeason2 https://t.co/VyvYxQtRFV",1488,279,"São Paulo, Brasil"
508,#Bridgerton BOYYY when Anthony was clasping her hand and giving her something to hold on to while going down on her- https://t.co/DVdoz5mVd7,208,289,
509,"You're a real @Adelaide_FC Fan when #46: You choose the boys/game over starting #Bridgerton Not gonna lie, the struggle is real😂 Let's go boys!❤️💙💛 #weflyasone #AFLPiesCrows https://t.co/Jai8ShpR3N",693,905,Australia
510,I can't believe Penelope!!! #Bridgerton,1476,561,
511,I’m trying to figure out how this mess is going to be resolved and as of yet I cannot think of anything #Bridgerton,414,598,"Brooklyn, NY"
512,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",322,1144,writing romance sh!t
513,RT @NoContxtBR: #Bridgerton https://t.co/S9MjVYr5hK,1054,1476,carrd under construction
514,เออ ถ้าเป็นแบบนี้จะไม่ด่า เพราะอยากเห็นซีนพระเอก นางเอกมากกว่านี้ แต่ทั้งซีซั่นออกมารวม 2 ชม.ยังไม่รู้😂 อยากเห็นพระเอกเป็นหมาหงอย ต้องตามตื้อนางเอก โดนทำร้ายจิตใจมั่ง ให้สาสมกับความอีเดียทของนังที่กินเวลาไปเกือบค่อนเรื่อง😒 #Bridgerton #Bridgertonseason2 #Kanthony https://t.co/535fLVRi9N,582,463,Planet Earth
515,Espere 2 años para ver los 8 cap de la 2da temporada en 8 hs... obvio bobis #Bridgerton,361,179,
516,"Anthony, Kate, Edwina 

The drama 
I'm all for it 

#Bridgerton",348,306,
517,Sí @NetflixES y es por tu culpa que no pueda parar #Bridgerton https://t.co/k7Tp9VHJKj,405,646,
518,"GRABE THE FEELS FOR THIS SCENE RIGHT HERE MGJSJAN LITERALLY GASPING FOR AIR 

#Bridgerton https://t.co/gRycVb46p0",2566,4459,
519,RT @elicortland: o Anthony que chamou 3 médicos pra Kate mataria esse da adaptação que tava triste por ela mas não ia ver ela #Bridgerton #bridgertonseason2 https://t.co/1bNl5pg3vX,685,555,"Itapetininga, Brasil"
520,"RT @nancyswheeIer: “you are the bane of my existence and the object of all my desires.” 

#bridgerton https://t.co/oiMklX09gE",264,147,she/her | 20 | ♡︎☆♪
521,✨ Just watched the new season of #Bridgerton? Fill the void by entering to win 10 historical romances + audiobooks and a reading pillow from @readforeverpub and @hachetteaudio! https://t.co/dqAfpOLv5H https://t.co/8LkdC93HjC,614,2330,"Converse, TX"
522,RT @bridgerton: It appears that Miss Sharma and The Viscount have found a reason to smile. I wonder what that could be. #Bridgerton https://t.co/PbRGKIfeLP,225,459,Singapore
523,2 episodes in and Anthony Bridgerton is a mess. #Bridgerton,1132,924,the world
524,"RT @ladybridnath: E foi assim que Anthony Bridgerton, o que não queria amar, se apaixonou por Kate Sharma. 
#Bridgerton #bridgertonseason2 https://t.co/UXHQiinlMh",153,112,"Brasília, Brasil"
525,"RT @ladygbson: o melhor de tudo foi a simone e o jonny que conseguiram entregar TUDO como kate e anthony!!!!!! a química de MILHÕES, eles foram perfeitos ❤️ #Bridgerton #bridgertonseason2 https://t.co/34eu26x9Th",821,823,♡ Zendaya
526,"RT @booksumers: todos concordamos que o benedict chapado foi a melhor coisa dessa temporada né?
#Bridgerton
https://t.co/tibXjEwNL6",359,394,
527,"RT @_hesunflower: SPOILER #bridgerton

quando saiu essa foto eu fique: meu deus quem foi que magoou essa criança

realidade: tava chapado https://t.co/EDE2ubIxN1",446,1206,
528,"RT @fluffho: #Bridgerton #BridgertonSpoilers #BridgertonSeason2

Does it ever Just how 
drive you fast the night
crazy changes

S104 S204 https://t.co/8I3mbsEf9N",369,254,"kyoto, japan"
529,RT @fvscassian: essa cena me machucou e me curou de todas as formas #Bridgerton https://t.co/huz6Afu2TY,153,112,"Brasília, Brasil"
530,#Bridgerton !!!!! https://t.co/6O1MW4uo68,553,1399,Canada
531,Mi única motivación para la 2da temporada es Eloise #Bridgerton https://t.co/WwGJ7vGx3d,1037,1001,ᵂᵘᵗʰᵉʳⁱⁿᵍ ᴴᵉⁱᵍʰᵗˢ
532,"RT @Gabibs_V: As duas únicas coisas que salvaram essa temporada foi ver o Benedict chapado e a química impecável da Kate e do Anthony mesmo com toda a história deles cagada.... 
#Bridgerton https://t.co/DAYftmCdbG",644,611,na Disney bb
533,RT @NetflixBrasil: As donas de #Bridgerton passando pra avisar que spoilers estão proibidos por aqui. 👀 https://t.co/fBgFgQ0Wkb,6303,6231,poppycas and jurdan!¡
534,"RT @senorborge: #Bridgerton is back! For @EliteDaily, I'm now accepting pitches for essays, original reporting, cultural commentary, and/or thoughtful reactions to Season 2. If you have ideas, email me at [jonathan.borge@bustle.com]. ✨🐝👑",1466,851,
535,RT @KateThornley3: Me after bingeing the entire new season in a day #Bridgerton https://t.co/s7ZB2rVKrZ,264,147,she/her | 20 | ♡︎☆♪
536,RT @machelanti: it needs to be said #Bridgerton https://t.co/9GdCBZ3lBP,2401,294,
537,Kate and Anthony are giving Alex and Angelica #Bridgerton,279,115,
538,Ms. Sharma is far more finer than Daphne! #Bridgerton,138,171,"Orlando, FL"
539,"motivo do meu choro: o gregory procurou o anthony no escritório dele em busca de algum consolo após a bronca do professor de latim, os dois acabaram conversando sobre o edmund, e a violet escutou tudo no corredor #bridgerton",1100,1059,
540,"RT @textosdeumalady: Benedict CHAPADÃO!! Finalmente uma alegria, ainda mais com ele e suas estrelas 🤣🤣
#Bridgerton #bridgertonseason2 https://t.co/y2K2vyK797",231,374,nordeste
541,"RT @_hesunflower: SPOILER #bridgerton

quando saiu essa foto eu fique: meu deus quem foi que magoou essa criança

realidade: tava chapado https://t.co/EDE2ubIxN1",570,510,"Jardim Laguna, Contagem"
542,"RT @baysercel: que beijão viu? 🤌🏼

#Bridgerton https://t.co/PWNnUrXtyg",314,246,"Alagoas, Brasil"
543,RT @m_bee4: eloise &amp; benedict continue to be the best sister/brother duo #Bridgerton https://t.co/oIc1xyGF8Z,183,235,Portugal
544,RT @spelivs: #KATHONY: wrecking ball #Bridgerton #bridgertonseason2 https://t.co/2UR60bajog,2489,2649,
545,Let's talk netflix. #Bridgerton https://t.co/RVf0y5WKfY,1688,41,
546,RT @bridgertonfav: a energia caótica dos dois nessa cena 😂❤️ #Bridgerton https://t.co/GCPHPtiCNP,18874,15040,tree hill |obx|dunder mifflin
547,"i probably said this when the first season came out, but penelope’s actress is THIRTY FIVE?! #Bridgerton",524,621,michigan
548,The way Anthony reacts to Kate’s scent #Bridgerton https://t.co/Excj1IP2AC,110,75,
549,RT @hottiepartie: Kate’s attitude is a lil too stank for me. Not her getting crunk with Lady Danbury. #Bridgerton https://t.co/vLJNzrwDVH,272,647,
550,A KATE SENDO O ANTONY DESSA TEMPORADA SKSKKSKK #Bridgerton,3623,4994,
551,"RT @Ayssa25109573: *Violet dando uma lição no Anthony*
A Eloise e o colin: 
#bridgertonseason2 #Bridgerton https://t.co/MKKE5CcStc",584,5002,"Manaus, Brasil"
552,"@bridgerton ""a man who knows what he wants is most admirable "" Edwina Sharma #Bridgerton #bridgertonseason2",171,250,
553,"RT @lovectosher: a química e a atuação deles são inexplicáveis
vocês foram feitos para interpretar kate e anthony!!
simone e jonathan vocês são incríveis &lt;33
#Bridgerton #bridgertonseason2 https://t.co/VKx9WLQxpc",231,374,nordeste
554,"RT @dumbppI: I vote for Julia Quinn to be the writer and in the production team for the upcoming seasons, I do not handle change very well and I’m afraid of what they’ll do to the other stories after what they did to book 1 in S1 and and book 2 in S2 #Bridgerton #bridgertonseason2",228,125,ERODA
555,RT @KateThornley3: High Benedict is the best thing I’ve ever seen #Bridgerton https://t.co/rF1MbwB0nR,151,1061,"Kissimmee, FL"
556,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",666,637,she/her
557,O tanto que a edwina dos livros é perfeitaaa mataram minha menina #Bridgerton,370,390,"Tocantins, Brasil"
558,Whoever owns the Swan House in Atlanta should have a #Bridgerton ball.,299,771,The Okiya
559,"RT @_rai_all: Anthony dando pane no sistema quando a Kate levantou o vestido pra passar por um tronco e deixou a pernona linda de fora FOI OQ EU PEDI SIM
#Bridgerton #bridgertonseason2 https://t.co/vq6DkYg97m",1507,1948,
560,"RT @maricarmenlove3: Yo viendo cada rechazo de Collin a Penélope vs yo sabiendo que se va a terminar arrastrando por ella 
#Bridgerton https://t.co/Vn2Uwq9WQZ",101,483,Venezuela
561,seated for #Bridgerton season 2,257,129,Miami FL
562,RT @kathanisharma: this image is seared into my brain #bridgerton https://t.co/8smNO8wa10,560,934,(she/her) • 📖 (1/30)
563,RT @bridgerton: It appears that Miss Sharma and The Viscount have found a reason to smile. I wonder what that could be. #Bridgerton https://t.co/PbRGKIfeLP,511,758,
564,"RT @dailykanthony: You're lying if u say u didn't feel goosebumps during this scene:

#bridgertonseason2 #Kanthony #Bridgerton https://t.co/cVQl3wTcq7",2566,4459,
565,"RT @elleinthenet: Pov: sei un'ape nella 2x03 di #Bridgerton 

#bridgertonseason2 https://t.co/ug5QDiDK1N",9210,2245,
566,RT @favstjames: a procura de homem idêntico ao benedict bridgerton na aparência e personalidade para um relacionamento sério #Bridgerton https://t.co/AR4aJRtdoO,432,1104,brooklyn 99
567,RT @niiikkiiix: The way Anthony smelled up Kate like this. Phewwwwwwwww #Bridgerton https://t.co/HlQYHuORJT,1188,1128,49'31'38'1 — Colombia ♥✨
568,"What was your favorite episode from #Bridgerton  season 2?

——
#bridgerton2 #BridgertonSpoilers #bridgertonS2 #Kanthony",1354,1184,twenty • multi fan • 16/50 📖
569,"RT @fluffho: ""You've sworn off women, then?""
""Well, for the time being.""
""I am a woman.""
""You are Pen. You do not count. You are my friend.""

STAB US, COLIN. IT'LL HURT LESS.

#Bridgerton #BridgertonSpoilers https://t.co/ZMnoPdy80D",597,470,"Weymouth, MA"
570,#Bridgerton Episode 2 is almost complete and I still cannot see Anthony being suitable for anyone let alone someone graceful and passionate like Miss Kate Sharma. And that love triangle! 😩 How can they turn this one around?!,113,231,Trinidad and Tobago
571,RT @m_bee4: eloise &amp; benedict continue to be the best sister/brother duo #Bridgerton https://t.co/oIc1xyGF8Z,4903,993,she/her • 18 • mlb+sxf+genshin
572,"Happy Friday! 
Fun at #Epcot Flower 🌸 &amp; Garden festival!🌸💐✨🎆 
#WaltDisneyWorld #wdw #disneyworld #Orlando #Disney #Disneycreators #Beautyinfluencer #Glambabydoll #FashionInfluencer #Disneyfashion #bridgerton2 #Bridgerton #Fourseasonsorlando #FSOrlando #Youtuber #glamour 🌐 https://t.co/1eTFWjm940",182,559,"Tampa,FL"
573,"RT @Hanker_98: Se suma a la lista de mis declaraciones de amor favoritas ❤
#Bridgerton #Kanthony #bridgertonS2 
https://t.co/oRTQjm3p2b",628,615,Ecuador
574,RT @jolangfrds: simone ashley as kate sharma is the most perfect casting ever #bridgerton https://t.co/PXoee9xOa1,1391,2188,Cat noir
575,"RT @RottenTomatoes: This weekend's new releases:

#TheLostCity - 74%
#EverythingEverywhereAllAtOnce - 96%
#Bridgerton - 78%
#Pachinko - 97%

What are you watching? https://t.co/Nw1bsohxxf",780,57,Kashmir
576,🎶 Material Girl 🎶 #Bridgerton https://t.co/C9J4QFGx5P,182,1196,"Salt Lake City, UT"
577,Not Colin being in love with a married woman with kids. #Bridgerton https://t.co/1DDf3sNTAf,344,149,"New York, NY"
578,Another season of #Bridgerton means another season of me wondering if Lady Featherington is really Julie Cooper from #TheOC https://t.co/3TfbvYcuUj,613,863,"Los Angeles, CA"
579,"RT @grxcechoi: #Bridgerton SEASON 2 SPOILERS
-
-
-
-
I FEEL LIKE I JUST WATCHED A DISNEY FAIRYTALE LIKE IM SO SICK TO MY STOMACH IM ON MY KNEES https://t.co/yYz1HkktcG",369,254,"kyoto, japan"
580,RT @bananad00_: i've been thinking about this for an hour. #Bridgerton https://t.co/018YHEz8eI,151,1061,"Kissimmee, FL"
581,E #Bridgerton com episódios de UMA HORA E 10 MIN. Virou filme?,145,189,endereço novo que eu não sei
582,"RT @Rowanwag: A Eloise o Colin e Benedict se divertindo horrores com as desgraças do Anthony KKKKKKKKKKKK 🗣✨🤌 

#bridgertonseason2 #Bridgerton https://t.co/NtCquCWNk4",231,374,nordeste
583,RT @belikovagirl: Eu chorei tanto nessa cena pqp ele é todo cheio de trauma pqp #Bridgerton https://t.co/AEqb6BBwzh,153,112,"Brasília, Brasil"
584,"RT @baysercel: que beijão viu? 🤌🏼

#Bridgerton https://t.co/PWNnUrXtyg",565,573,ela/dela
585,"RT @xflyawaystew: Non l’avrei mai detto but
Daphne versione capo shipper dei #Kanthony ci piace! welcome to the fandom Duchess

*Nel libro era Colin, anyway la duchessa ha fatto ciò che doveva #Bridgerton

Loro Noi e Daphne https://t.co/hW10N7AmbG",9210,2245,
586,"RT @bellalafin: #Bridgerton SPOILER
.
.
.
.
.
.
.
.
PORQUE ninguém tá falando sobre como o nome da Kate é KATHANI????? achei a coisa mais LINDA, o jeito que o Anthony olhou pra ela e falou o nome dela.",123,193,
587,RT @jonnybaeley: i'm going to relish this little moment forever- anthony realising what he's been missing on and smiling to himself as he's head over heels in love with his wife 💜💜 #Bridgerton #Kanthony https://t.co/zXJilE4LwB,1391,2188,Cat noir
588,"Episode 6:
#Bridgerton https://t.co/nZFu1nLpEE",4056,808,Chicago by way of Peru
589,RT @shondarhimes: Today is the day. #Bridgerton https://t.co/XdsvnRl8lF,264,147,she/her | 20 | ♡︎☆♪
590,"J'y crois pas, la saison 2 de la chronique des #Bridgerton est disponible depuis 9h aujourd'hui et je n'ai même pas le temps de savourer ça.. Même pas un petit coup d'œil rien. Ni demain, ni dimanche 😭 Dieu, qu'est ce que grandir ça change. On hérite du vrai sens des priorités🤷🏾‍♀️",277,237,"Montréal, Québec"
591,"RT @ElainyHS: Dica para quem é fã dos livros e vai ver a segunda temporada de #Bridgerton finjam que é uma FANFIC dos livros, a experiência é melhor e mais saudável, foi o que eu fiz 🐝❤️",1388,1646,in my unpublished book
592,RT @Kathony1814: All these magnificent women are QUEENS to my eyes 🥺✨ #Bridgerton https://t.co/KQYXbHBuWI,1114,372,"Jeffersonville, IN"
593,Omg I literally hated daphne 🤭😂#Bridgerton https://t.co/1f3JOVqJIe,992,300,"Bed, Pillowtown USA"
594,"RT @xlangfields: ""you are the bane of my existence. and the object of all my desires.""

""all i find myself thinking about, all i find myself being able to breathe for is you.""

""i know i am imperfect. but i will humble myself before you because i cannot imagine my life without you."" 

#bridgerton https://t.co/UokEMTWHjG",155,177,🌈 she/her
595,RT @MenaceandRake: We got our tulips #kanthony #bridgerton https://t.co/ihrwuBr7Ul,560,934,(she/her) • 📖 (1/30)
596,RT @aelincaIore: fiz um edit kathony pq eles são o melhor casal do melhor livro #Bridgerton #bridgertonseason2 https://t.co/icX1ZXecNI,1681,1898,"Belém, Brasil"
597,"RT @jelevision: it was love at first stride for them

#kanthony #bridgerton https://t.co/mYxZ40Od3S",609,901,"Bamban, Central Luzon"
598,"PERO QUE ACABAS DE HACER ANTHONY BRIDGERTON!!!! O que hicieron los guionistas, esto no me gustó por la chucha #Bridgerton #bridgerton2",518,1054,Ketterdam
599,"RT @BridGabi: SPOILER #Bridgerton
.
.
.
.
.
.
.
.
.
.
não sei vocês, mas todas as cenas que colocaram aquele som de coração batendo acelerado O MEU CORAÇÃO BATEU EXATAMENTE ASSIM, ESPECIALMENTE NESSA. PENSEI QUE EU FOSSE EXPLODIR, A TENSÃO!!! ELES ESTAVAM SEPARADOS POR MILÍMETROS 🗣️🗣️🗣️ https://t.co/l6l3yRIhD0",833,848,
600,"RT @brdgertonbrazil: O anthony toda hora sendo macetado pela kate e a violet 
#Bridgerton #bridgertonseason2 https://t.co/EyScnDA8jM",584,5002,"Manaus, Brasil"
601,Oh Penelope… I’ve been there . *sigh*. #Bridgerton,907,1893,"Atlanta, GA"
602,COMO ASSIM o Anthony pediu a Edwina em casamento? A Shonda tá de zoação com a nossa cara #Bridgerton,3015,2652,"São Paulo, Brasil"
603,"RT @BridGabi: ""Era simples: Kate era tudo para ele. Se negasse isso, poderia muito bem parar de respirar imediatamente.""

(eu vivo no sorriso do anthony nessa cena final 🥺🤏🏽💗)
#Bridgerton https://t.co/wIPLU4nDCJ",432,1104,brooklyn 99
604,RT @bridgertonfav: a energia caótica dos dois nessa cena 😂❤️ #Bridgerton https://t.co/GCPHPtiCNP,176,751,Brasil
605,"“Siga mirándome, nadie más importa”

#Bridgerton https://t.co/oDiF8mJAL1",1724,1105,Velaris
606,"RT @vhsjones: spoiler #Bridgerton  
.
.
.
.
.
.
.
.
.
.
violet: anthony?
anthony: ela acordou? 
violet: a sra. wilson soube por uma criada. 
anthony imediatamente: https://t.co/BQqORdtq8l",1224,585,
607,"RT @polinbridgerton: pouquíssimas coisas são tão perfeitas quanto essa cena 🥺
#Bridgerton #bridgertonseason2 https://t.co/Q5JrVFV5Sq",981,938,
608,"RT @umaGreenbriar: Eu gostei muito do Theo, mas me irrita as pessoas nao conseguirem fazer um homem e uma mulher serem amigos sem sentirem alguma coisa um pelo outro
#Bridgerton",1388,1646,in my unpublished book
609,"RT @alicxss: eu não aceito nenhuma crítica NENHUMA CRÍTICA a KATHONY, eles entregaram TUDO, casal perfeito e química PERFEITA #Bridgerton https://t.co/h9UhS98I7c",1171,1194,harry's house
610,"RT @blulentigginosa: benedict bridgerton is written by a woman.
#Bridgerton https://t.co/UgNGOEWvKZ",100,79,"Maceió, Brasil"
611,"RT @lovmcu: LA FACCIA DI CHI GIÀ SAPEVA TUTTO
#bridgerton https://t.co/CBpISgoFUl",9210,2245,
612,RT @spelivs: #KATHONY: wrecking ball #Bridgerton #bridgertonseason2 https://t.co/2UR60bajog,470,334,21 she they (she for moots)
613,RT @jonnybaeley: me in two days whenever anthony and kate are in the same room together with all the sexual tension everyone's talking about #bridgerton https://t.co/x4guEtnrqI,439,505,
614,anthony standing up for his women yessss #bridgerton,514,837,black • she/her • 19
615,"RT @booksumers: todos concordamos que o benedict chapado foi a melhor coisa dessa temporada né?
#Bridgerton
https://t.co/tibXjEwNL6",538,1024,"Ceará, Brasil"
616,"RT @NoContxtBR: Lady Danbury catching Anthony sniffing Kate's scent will forever be funny to me 

#Bridgerton #bridgertonseason2 https://t.co/PNHFpLnmXL",151,1061,"Kissimmee, FL"
617,Starting the new season of #Bridgerton 😀,474,368,
618,"RT @flowerfrost_: Anthony carries the burden of being the eldest son that must carry on his family.
Kate overshadowed herself for her family's future.
Penelope had to witness her family's decay and to not being pleasant in the eyes of society.
Eloise will always be compared to Daphne.
#Bridgerton https://t.co/HREtjcF6s7",1114,372,"Jeffersonville, IN"
619,"RT @3stebeland: ""Tenho um compromisso sério sexta-feira""

O compromisso:
#Bridgerton #BridgertonSeason2 https://t.co/VyvYxQtRFV",476,457,"Serra, Brasil"
620,"RT @polinbridgerton: ""É porque eu nunca conheci alguém como você. É enlouquecedor o quanto você consome o meu ser. (...) Ainda assim, tudo em que consigo pensar, tudo pelo o que consigo respirar é você."" 
#Bridgerton #bridgertonseason2 https://t.co/LJmgvK9kQ6",542,688,kenji kishimoto gf
621,"RT @SaraVia39297245: Acabei de assistir a 2 temporada de Bridgerton e só tenho uma coisa para dizer:
Amei o casal e a química dos dois mas cagaram pra toda a história do livro e isso me decepcionou muito 
#Bridgerton #bridgertonseason2 
+ https://t.co/3lo5PuoAZv",324,650,"Rio de Janeiro, Brasil"
